sample,cluster
DT_IIISM.2,6
DT_IIISM.3,6
DT_IVS,6
DT_IVS.1,6
DT_IVS.2,6
DT_IVS.3,6
DT_IVSM,6
DT_IVSM.1,6
DT_IVSM.2,6
DT_IVSM.3,6
C1_IIIS,7
C1_IIIS.1,7
C1_IIIS.2,7
C1_IIIS.3,7
C1_IVS,7
C1_IVS.1,7
C1_IVS.2,7
C1_IVS.3,7
C2_IIIS,7
C2_IIIS.1,7
C2_IIIS.2,7
C2_IIIS.3,7
C2_IVS,7
C2_IVS.1,7
C2_IVS.2,7
C2_IVS.3,7
C3_IIIS,7
C3_IIIS.1,7
C3_IIIS.2,7
C3_IIIS.3,7
C3_IVS,7
C3_IVS.1,7
C3_IVS.2,7
C3_IVS.3,7
C4_IIIS,7
C4_IIIS.1,7
C4_IIIS.2,7
C4_IIIS.3,7
C4_IVS,7
C4_IVS.1,7
C4_IVS.2,7
C4_IVS.3,7
C5_IIIS,7
C5_IIIS.1,7
C5_IIIS.2,7
C5_IIIS.3,7
C5_IIS.1,7
C5_IIS.2,7
C5_IIS.3,7
C5_IVS,7
C5_IVS.1,7
C5_IVS.2,7
C5_IVS.3,7
D1_IIIS,7
D1_IIIS.1,7
D1_IIIS.2,7
D1_IIIS.3,7
D3_IIIS,7
D3_IIIS.1,7
D3_IIIS.2,7
D3_IIIS.3,7
D4_IIIS,7
D4_IIIS.1,7
D4_IIIS.2,7
D4_IIIS.3,7
D5_IIIS,7
D5_IIIS.1,7
D5_IIIS.2,7
D5_IIIS.3,7
DT.3_2FS,7
P1_IIFSM,7
P2_IIFSM,7
P5.3_IIFSM,7
P5.4_IIFSM,7
C3.2_IIFSM,8
C5.4_IIFSM,8
D4.4_IIFSM,8
DNA_NET_Minilab_1,8
DNA_NET_Minilab_1.1,8
DNA_NET_Minilab_1.2,8
DNA_NET_Minilab_1.3,8
DNA_NET_Minilab_2,8
DNA_NET_Minilab_2.1,8
DNA_NET_Minilab_2.2,8
DNA_NET_Minilab_2.3,8
DNA_NET_Minilab_3,8
DNA_NET_Minilab_3.1,8
DNA_NET_Minilab_3.2,8
DNA_NET_Minilab_3.3,8
G2.4_IIFSM,8
G3.4_IIFS,8
G4.4_IIFSMA,8
G5.4_IIFS,8
P2.4_IIFSM,8
PT.4_2FSM,8
D2_IIIS,9
D2_IIIS.1,9
D2_IIIS.2,9
D2_IIIS.3,9
DT_IIIS,9
DT_IIIS.1,9
DT_IIIS.2,9
DT_IIIS.3,9
G1_IIIS,9
G1_IIIS.1,9
G1_IIIS.2,9
G1_IIIS.3,9
G1_IVS,9
G1_IVS.1,9
G1_IVS.2,9
G1_IVS.3,9
G2_IIIS,9
G2_IIIS.1,9
G2_IIIS.2,9
G2_IIIS.3,9
G2_IVS,9
G2_IVS.1,9
G2_IVS.2,9
G2_IVS.3,9
G2_IVSM,9
G2_IVSM.1,9
G2_IVSM.2,9
G2_IVSM.3,9
G3_IIIS,9
G3_IIIS.1,9
G3_IIIS.2,9
G3_IIIS.3,9
G3_IVS,9
G3_IVS.1,9
G3_IVS.2,9
G3_IVS.3,9
G4_IIIS,9
G4_IIIS.1,9
G4_IIIS.2,9
G4_IIIS.3,9
G4_IVS,9
G4_IVS.1,9
G4_IVS.2,9
G4_IVS.3,9
G4_IVSM,9
G4_IVSM.1,9
G4_IVSM.2,9
G4_IVSM.3,9
G5_IIIS,9
G5_IIIS.1,9
G5_IIIS.2,9
G5_IIIS.3,9
G5_IIISM,9
G5_IIISM.1,9
G5_IIISM.2,9
G5_IIISM.3,9
G5_IVS,9
G5_IVS.1,9
G5_IVS.2,9
G5_IVS.3,9
GT_IIIS,9
GT_IIIS.1,9
GT_IIIS.2,9
GT_IIIS.3,9
GT_IVS,9
GT_IVS.1,9
GT_IVS.2,9
GT_IVS.3,9
GT_IVSM,9
GT_IVSM.1,9
GT_IVSM.2,9
GT_IVSM.3,9
P1.3_IIFSM,9
P1_IIIS,9
P1_IIIS.1,9
P1_IIIS.2,9
P1_IIIS.3,9
P1_IVS,9
P1_IVS.1,9
P1_IVS.2,9
P1_IVS.3,9
P2_IIIS,9
P2_IIIS.1,9
P2_IIIS.2,9
P2_IIIS.3,9
P2_IVS,9
P2_IVS.1,9
P2_IVS.2,9
P2_IVS.3,9
P3_IIIS,9
P3_IIIS.1,9
P3_IIIS.2,9
P3_IIIS.3,9
P3_IVS,9
P3_IVS.1,9
P3_IVS.2,9
P3_IVS.3,9
P4_IIIS,9
P4_IIIS.1,9
P4_IIIS.2,9
P4_IIIS.3,9
P4_IVS,9
P4_IVS.1,9
P4_IVS.2,9
P4_IVS.3,9
P5_IIIS,9
P5_IIIS.1,9
P5_IIIS.2,9
P5_IIIS.3,9
P5_IVS,9
P5_IVS.1,9
P5_IVS.2,9
P5_IVS.3,9
PT_IIIS,9
PT_IIIS.1,9
PT_IIIS.2,9
PT_IIIS.3,9
PT_IVS,9
PT_IVS.1,9
PT_IVS.2,9
PT_IVS.3,9
C1_IIIFSM,10
C1_IIIFSM.1,10
C1_IIIFSM.2,10
C1_IIIFSM.3,10
C1_IVFSM,10
C1_IVFSM.1,10
C1_IVFSM.2,10
C1_IVFSM.3,10
C2_IIIFSM,10
C2_IIIFSM.1,10
C2_IIIFSM.2,10
C2_IIIFSM.3,10
C2_IVFSM,10
C2_IVFSM.1,10
C2_IVFSM.2,10
C2_IVFSM.3,10
C3_IIIFSM,10
C3_IIIFSM.1,10
C3_IIIFSM.2,10
C3_IIIFSM.3,10
C3_IVFSM,10
C3_IVFSM.1,10
C3_IVFSM.2,10
C3_IVFSM.3,10
C4_IIIFSM,10
C4_IIIFSM.1,10
C4_IIIFSM.2,10
C4_IIIFSM.3,10
C4_IVFSM,10
C4_IVFSM.1,10
C4_IVFSM.2,10
C4_IVFSM.3,10
C5_IIIFSM,10
C5_IIIFSM.1,10
C5_IIIFSM.2,10
C5_IIIFSM.3,10
C5_IVFSM,10
C5_IVFSM.1,10
C5_IVFSM.2,10
C5_IVFSM.3,10
CT_IIIFSM,10
CT_IIIFSM.1,10
CT_IIIFSM.2,10
CT_IIIFSM.3,10
CT_IVFSM,10
CT_IVFSM.1,10
CT_IVFSM.2,10
CT_IVFSM.3,10
G1_IVFSM,10
G1_IVFSM.1,10
G1_IVFSM.2,10
G1_IVFSM.3,10
GT_IVFSM,10
GT_IVFSM.1,10
GT_IVFSM.2,10
GT_IVFSM.3,10
D1_IIIFSM,11
D1_IIIFSM.1,11
D1_IIIFSM.2,11
D1_IIIFSM.3,11
D1_IVFSM,11
D1_IVFSM.1,11
D1_IVFSM.2,11
D1_IVFSM.3,11
D2_IIIFSM,11
D2_IIIFSM.1,11
D2_IIIFSM.2,11
D2_IIIFSM.3,11
D2_IVFSM,11
D2_IVFSM.1,11
D2_IVFSM.2,11
D2_IVFSM.3,11
D3_IIIFSM,11
D3_IIIFSM.1,11
D3_IIIFSM.2,11
D3_IIIFSM.3,11
D3_IVFSM,11
D3_IVFSM.1,11
D3_IVFSM.2,11
D3_IVFSM.3,11
D4_IIIFSM,11
D4_IIIFSM.1,11
D4_IIIFSM.2,11
D4_IIIFSM.3,11
D4_IVFSM,11
D4_IVFSM.1,11
D4_IVFSM.2,11
D4_IVFSM.3,11
D5_IIIFSM,11
D5_IIIFSM.1,11
D5_IIIFSM.2,11
D5_IIIFSM.3,11
D5_IVFSM,11
D5_IVFSM.1,11
D5_IVFSM.2,11
D5_IVFSM.3,11
DT_IIIFSM,11
DT_IIIFSM.1,11
DT_IIIFSM.2,11
DT_IIIFSM.3,11
DT_IVFSM,11
DT_IVFSM.1,11
DT_IVFSM.2,11
DT_IVFSM.3,11
D1_IVS,12
D1_IVS.1,12
D1_IVS.2,12
D1_IVS.3,12
D2_IVS,12
D2_IVS.1,12
D2_IVS.2,12
D2_IVS.3,12
D4_IVS,12
D4_IVS.1,12
D4_IVS.2,12
D4_IVS.3,12
D5_IVS,12
D5_IVS.1,12
D5_IVS.2,12
D5_IVS.3,12
C5_IIS,13
G1_IIIFSM,13
G1_IIIFSM.1,13
G1_IIIFSM.2,13
G1_IIIFSM.3,13
G1_IVFS,13
G1_IVFS.1,13
G1_IVFS.2,13
G1_IVFS.3,13
G2_IIIFSM,13
G2_IIIFSM.1,13
G2_IIIFSM.2,13
G2_IIIFSM.3,13
G2_IVFS,13
G2_IVFS.1,13
G2_IVFS.2,13
G2_IVFS.3,13
G2_IVFSM,13
G2_IVFSM.1,13
G2_IVFSM.2,13
G2_IVFSM.3,13
G3_IIIFSM,13
G3_IIIFSM.1,13
G3_IIIFSM.2,13
G3_IIIFSM.3,13
G3_IVFS,13
G3_IVFS.1,13
G3_IVFS.2,13
G3_IVFS.3,13
